gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2015020157,2015-10-31,9.05,3.2,0.6666666666666666,0,0,0,3,1,0,0,0,0,1,3,0,2,0,0,3,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,9,7,0,10,1,1,3,1,0,8,7,0,5,1,1,3,1,0,6,5,0,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2015020183,2015-11-04,12.183333333333334,2.033333333333333,0,0,0,0,9,1,0,0,0,0,7,0,0,2,1,0,5,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,8,1,0,0,0,0,5,0,0,3,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020198,2015-11-06,14.35,0.4,0.6666666666666666,2,0,0,8,1,0,1,0,0,5,0,0,2,0,0,7,0,0,3,0,0,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,17,1,0,8,0,4,4,0,0,15,1,0,5,0,4,1,0,0,9,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015020209,2015-11-07,11.816666666666666,1.8333333333333333,2.3333333333333335,0,0,0,9,0,0,0,0,0,4,0,0,3,0,1,5,1,1,2,0,1,5,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,18,2,0,6,0,4,4,0,0,9,1,0,4,0,3,3,0,0,6,1,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020228,2015-11-11,13.983333333333333,1.6833333333333333,0.4166666666666667,0,0,0,5,1,0,0,0,0,5,0,0,3,0,0,7,0,0,2,0,0,5,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,14,2,0,10,0,0,2,1,0,12,1,0,9,0,0,1,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2015020242,2015-11-13,10.733333333333333,3.1,0,0,0,0,6,2,0,0,0,0,11,0,0,3,0,0,4,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,2,0,1,3,0,4,0,0,2,2,0,5,0,0,11,2,0,11,3,0,1,0,0,7,2,0,8,2,0,1,0,0,5,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0
2015020252,2015-11-14,10.666666666666666,3.466666666666667,0.65,0,0,0,3,3,0,0,0,0,7,1,0,7,0,0,9,0,0,1,1,0,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,7,5,0,7,1,3,1,1,0,4,5,0,6,1,3,1,1,0,3,4,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015020270,2015-11-17,8.683333333333334,3.15,2.15,0,0,0,5,0,2,0,0,0,4,1,0,6,1,1,8,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,5,2,1,9,1,2,1,0,1,4,2,1,6,1,1,1,0,1,2,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015020280,2015-11-19,11.15,2.533333333333333,0.9166666666666666,0,0,0,7,3,0,0,0,0,1,1,1,2,0,0,9,0,0,0,0,0,12,1,0,2,0,0,5,1,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,12,7,0,7,1,1,3,0,0,7,3,0,2,1,0,2,0,0,4,1,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2015020297,2015-11-21,10.583333333333334,4.116666666666666,0,0,0,0,6,2,0,0,0,0,5,0,0,3,0,0,10,0,0,2,2,0,5,4,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,1,0,12,6,0,9,1,0,3,1,0,7,4,0,9,1,0,3,1,0,7,3,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2015020321,2015-11-25,10.866666666666667,3.35,0,0,0,0,5,1,0,0,1,0,5,1,0,3,1,0,8,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,7,3,0,6,0,0,2,0,0,5,3,0,6,0,0,2,0,0,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020337,2015-11-27,10.45,2.8833333333333333,0.2833333333333333,0,0,0,7,1,0,0,0,0,5,1,1,4,0,0,6,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,1,0,0,8,3,0,7,1,0,1,0,0,7,1,0,7,1,0,1,0,0,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2015020346,2015-11-28,15.533333333333333,0.9166666666666666,1.2833333333333334,0,0,0,5,0,1,0,0,0,8,0,0,9,0,0,18,0,1,4,0,0,11,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,23,0,0,7,0,1,3,0,0,16,0,0,6,0,1,1,0,0,9,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2015020368,2015-12-01,13.583333333333334,2.1666666666666665,0.7833333333333333,0,0,0,5,0,0,0,0,0,8,0,0,2,0,0,6,0,0,1,1,0,6,2,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,8,7,0,20,0,3,2,0,0,7,7,0,13,0,3,0,0,0,5,4,0,9,0,2,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1
2015020389,2015-12-05,14.266666666666667,1.7166666666666666,0.3333333333333333,0,0,0,10,1,0,0,0,0,8,1,0,1,0,0,2,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,10,2,0,15,0,0,1,0,0,8,2,0,11,0,0,1,0,0,8,2,0,8,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015020403,2015-12-06,16.483333333333334,2.45,0.25,0,0,0,7,0,0,0,0,0,4,2,0,6,1,0,13,1,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,14,8,0,18,1,0,0,0,0,11,6,0,10,1,0,0,0,0,6,5,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,0,0
2015020418,2015-12-09,13.6,1.2166666666666666,2.3833333333333333,0,0,0,9,2,1,0,0,0,6,0,1,0,0,2,1,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,18,2,1,13,0,2,3,1,0,14,2,1,7,0,2,2,1,0,10,1,1,3,0,2,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020429,2015-12-11,16.916666666666668,2.1666666666666665,1.2333333333333334,0,0,0,15,1,0,0,0,0,10,3,0,8,1,1,13,1,1,1,0,0,13,0,1,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,20,4,1,16,1,3,4,0,0,14,4,1,14,0,3,3,0,0,10,3,1,8,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,2,0,0,1,0,0,3,0,0,2,0,0
2015020449,2015-12-14,16.95,2.1,0,0,0,0,9,0,0,0,0,0,9,2,0,8,0,0,17,0,0,0,0,0,11,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,1,0,23,4,0,16,0,0,4,0,0,16,0,0,12,0,0,4,0,0,14,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015020465,2015-12-16,13.75,2.6166666666666667,0.18333333333333332,0,0,0,8,2,1,0,0,0,10,2,0,1,0,0,8,0,0,2,0,0,8,0,0,2,0,0,4,0,0,1,0,0,6,0,0,0,0,0,2,0,0,5,1,0,15,5,0,10,2,0,3,1,0,8,4,0,9,2,0,3,0,0,6,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2015020477,2015-12-18,10.25,5.05,0,0,0,0,9,5,0,0,0,0,8,2,0,1,0,0,5,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,1,0,18,7,0,9,0,0,3,1,0,15,4,0,8,0,0,3,0,0,11,1,0,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2015020487,2015-12-19,17,1.0333333333333334,0.43333333333333335,0,0,0,4,0,0,0,0,0,6,0,0,1,0,0,7,0,0,3,1,0,5,1,0,0,0,0,3,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,16,2,0,10,0,1,1,0,0,16,0,0,9,0,0,1,0,0,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1
2015020501,2015-12-21,11.9,1.9833333333333334,0,0,0,0,9,1,0,0,0,0,5,2,0,5,0,0,7,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,14,2,0,7,0,0,4,0,0,11,2,0,6,0,0,2,0,0,6,2,0,5,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020523,2015-12-26,14.366666666666667,1.8333333333333333,0.4,0,0,0,9,0,1,0,0,0,4,1,1,1,0,0,4,0,0,1,0,0,4,0,0,0,1,0,1,1,0,1,0,0,3,1,0,2,0,0,0,0,0,1,0,0,16,2,0,12,0,0,1,0,0,12,2,0,10,0,0,0,0,0,9,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2015020531,2015-12-27,15.716666666666667,1.05,0.3,0,0,0,7,1,1,0,0,0,7,0,0,5,0,0,7,0,0,1,0,0,5,0,0,1,0,0,3,1,0,1,0,0,3,0,0,0,0,0,0,0,0,6,0,0,16,2,0,14,0,0,4,0,0,10,1,0,13,0,0,3,0,0,8,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,4,0,0,1,0,0
2015020551,2015-12-30,14.333333333333334,2.6666666666666665,0.5,0,0,0,3,2,0,1,0,0,8,3,0,4,1,0,8,2,0,3,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,16,2,0,14,1,0,2,1,0,11,1,0,12,1,0,2,1,0,8,1,0,10,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015020557,2015-12-31,14.866666666666667,0.9666666666666667,0.03333333333333333,0,0,0,12,1,0,0,0,0,7,2,1,2,0,0,9,0,0,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,16,3,0,7,0,0,2,0,0,15,2,0,4,0,0,2,0,0,13,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015020574,2016-01-02,15.733333333333333,1.6,0.13333333333333333,0,0,0,9,1,0,0,0,0,11,0,0,3,0,0,11,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,19,4,0,19,0,0,3,1,0,19,4,0,9,0,0,1,1,0,16,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,2,0,0
2015020592,2016-01-05,18.8,0,0,0,0,0,7,0,0,0,0,0,9,0,0,8,0,0,15,0,0,2,0,0,6,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,21,0,0,13,0,0,4,0,0,18,0,0,10,0,0,3,0,0,11,0,0,10,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020597,2016-01-06,14.9,1.6,0.21666666666666667,0,0,0,10,0,0,0,0,0,7,0,0,3,0,0,9,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,12,1,0,17,0,0,1,0,0,8,0,0,15,0,0,1,0,0,6,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2015020616,2016-01-09,14.8,1.8833333333333333,0,0,0,0,9,2,0,0,0,0,10,0,0,5,0,0,12,0,0,0,1,0,6,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,1,0,20,5,0,19,0,0,5,1,0,16,4,0,12,0,0,3,1,0,11,4,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2015020635,2016-01-12,16.85,1.7333333333333334,0,0,0,0,7,0,0,0,0,0,8,0,0,1,0,0,9,0,0,2,0,0,5,0,0,2,0,0,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,6,0,0,25,1,0,15,0,0,5,0,0,20,0,0,10,0,0,4,0,0,11,0,0,6,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,1,0,0,1,0,0,5,0,0,1,0,0
2015020657,2016-01-15,15.466666666666667,2.316666666666667,1.3166666666666667,0,0,0,12,0,1,0,0,0,6,2,1,3,0,0,6,0,0,0,0,0,7,1,1,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,2,0,0,4,1,0,16,3,0,9,0,3,4,0,0,12,2,0,8,0,3,2,0,0,9,1,0,7,0,1,1,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
